meanfun,IQR,spent,label,Q25
0.158,0.255,0.636,male,0.06
0.288,0.247,0.631,male,0.078
0.237,0.457,0.443,male,0.034
0.183,0.407,0.923,male,0.39
0.279,0.474,0.959,male,0.318
0.3,0.535,0.923,male,0.274
0.277,0.413,0.941,male,0.375
0.206,0.45,0.907,male,0.446
0.226,0.445,0.954,male,0.356
0.276,0.47,0.972,male,0.305
0.183,0.424,0.931,male,0.41
0.267,0.424,0.934,male,0.352
0.204,0.469,0.924,male,0.336
0.417,0.362,0.817,male,0.52
0.259,0.406,0.829,male,0.522
0.255,0.413,0.873,male,0.467
0.317,0.41,0.821,male,0.534
0.133,0.449,0.815,male,0.494
0.153,0.461,0.805,male,0.467
0.19,0.446,0.79,male,0.5
0.209,0.466,0.768,male,0.485
0.237,0.467,0.726,male,0.52
0.038,0.416,0.774,male,0.46
0.122,0.469,0.72,male,0.501
0.238,0.428,0.799,male,0.488
0.15,0.451,0.83,male,0.479
0.148,0.451,0.784,male,0.471
0.412,0.454,0.672,male,0.508
0.354,0.435,0.72,male,0.493
0.39,0.456,0.47,male,0.523
0.065,0.451,0.964,male,0.374
0.396,0.456,0.728,male,0.493
0.424,0.467,0.567,male,0.529
0.38,0.459,0.562,male,0.499
0.379,0.465,0.563,male,0.516
0.355,0.435,0.75,male,0.49
0.479,0.248,0.679,male,0.55
0.458,0.442,0.573,male,0.537
0.416,0.245,0.539,male,0.543
0.395,0.431,0.712,male,0.52
0.47,0.422,0.637,male,0.53
0.143,0.428,0.83,male,0.392
0.253,0.413,0.819,male,0.472
0.22,0.412,0.854,male,0.4
0.253,0.41,0.772,male,0.468
0.23,0.383,0.838,male,0.383
0.137,0.416,0.796,male,0.449
0,0.43,0.862,male,0.447
0.252,0.422,0.836,male,0.422
0.114,0.419,0.923,male,0.349
0.238,0.433,0.937,male,0.359
0.193,0.413,0.862,male,0.354
0.252,0.404,0.93,male,0.366
0.295,0.408,0.937,male,0.366
0.311,0.431,0.888,male,0.414
0.264,0.46,0.93,male,0.355
0.262,0.431,0.959,male,0.366
0.414,0.716,0.793,male,0.123
0.433,0.691,0.879,male,0.201
0.339,0.361,0.951,male,0.178
0.325,0.545,0.862,male,0.231
0.358,0.399,0.837,male,0.411
0.3,0.513,0.83,male,0.388
0.265,0.548,0.855,male,0.359
0.338,0.516,0.841,male,0.454
0.418,0.486,0.853,male,0.396
0.339,0.465,0.868,male,0.392
0.474,0.129,0.582,male,0.547
0.362,0.199,0.747,male,0.519
0.414,0.234,0.705,male,0.592
0.42,0.255,0.76,male,0.507
0.42,0.393,0.703,male,0.507
0.258,0.415,0.806,male,0.434
0.602,0.153,0.695,male,0.749
0.141,0.41,0.713,male,0.343
0.53,0.207,0.737,male,0.634
0.454,0.379,0.672,male,0.578
0.429,0.256,0.798,male,0.61
0.569,0.262,0.723,male,0.673
0.515,0.22,0.803,male,0.599
0.46,0.38,0.804,male,0.54
0.504,0.178,0.693,male,0.617
0.618,0.327,0.756,male,0.631
0.137,0.341,0.694,male,0.564
0.14,0.298,0.775,male,0.622
0.056,0.256,0.714,male,0.619
0.125,0.332,0.786,male,0.604
0.043,0.335,0.762,male,0.599
0.151,0.312,0.724,male,0.616
0.142,0.241,0.703,male,0.662
0.31,0.28,0.678,male,0.63
0.091,0.283,0.688,male,0.645
0.096,0.336,0.709,male,0.659
0.195,0.57,0.671,male,0.188
0.178,0.635,0.636,male,0.091
0.112,0.628,0.627,male,0.101
0.205,0.589,0.597,male,0.183
0.175,0.449,0.688,male,0.033
0.191,0.454,0.665,male,0.332
0.248,0.593,0.827,male,0.07
0.141,0.496,0.478,male,0.243
0.216,0.687,0.469,male,0.056
0.143,0.56,0.698,male,0.117
0.302,0.436,0.745,male,0.503
0.254,0.424,0.818,male,0.451
0.23,0.412,0.803,male,0.399
0.392,0.402,0.88,male,0.48
0.305,0.465,0.759,male,0.49
0.399,0.378,0.7,male,0.507
0.387,0.449,0.716,male,0.511
0.321,0.397,0.777,male,0.485
0.302,0.461,0.703,male,0.473
0.307,0.419,0.77,male,0.471
0.305,0.458,0.752,male,0.468
0.287,0.746,0.304,male,0.101
0.244,0.529,0.543,male,0.103
0.42,0.508,0.748,male,0.096
0.209,0.274,0.431,male,0.393
0.27,0.499,0.592,male,0.175
0.287,0.543,0.826,male,0.116
0.168,0.492,0.746,male,0.385
0.092,0.439,0.755,male,0.436
0.149,0.53,0.749,male,0.385
0.008,0.57,0.68,male,0.361
0.112,0.544,0.717,male,0.392
0.141,0.503,0.75,male,0.394
0.144,0.484,0.72,male,0.393
0.03,0.584,0.688,male,0.353
0.108,0.46,0.741,male,0.411
0.103,0.502,0.729,male,0.378
0.333,0.305,0.729,male,0.628
0.327,0.252,0.672,male,0.708
0.377,0.274,0.662,male,0.707
0.373,0.331,0.676,male,0.649
0.409,0.276,0.687,male,0.663
0.256,0.571,0.907,male,0.124
0.263,0.556,0.934,male,0.164
0.215,0.545,0.917,male,0.174
0.294,0.428,0.778,male,0.056
0.231,0.522,0.914,male,0.202
0.243,0.521,0.931,male,0.174
0.266,0.51,0.921,male,0.217
0.116,0.575,0.908,male,0.115
0.253,0.549,0.903,male,0.141
0.28,0.531,0.894,male,0.108
0.3,0.464,0.816,male,0.387
0.273,0.586,0.819,male,0.275
0.255,0.665,0.775,male,0.072
0.314,0.494,0.941,male,0.284
0.202,0.686,0.785,male,0.187
0.259,0.67,0.691,male,0.063
0.275,0.663,0.708,male,0.098
0.27,0.703,0.676,male,0.094
0.285,0.663,0.573,male,0.096
0.171,0.638,0.804,male,0.154
0.185,0.538,0.767,male,0.418
0.129,0.533,0.741,male,0.374
0.118,0.461,0.743,male,0.393
0.114,0.501,0.739,male,0.344
0.098,0.559,0.722,male,0.372
0.089,0.432,0.772,male,0.404
0.121,0.521,0.729,male,0.368
0.087,0.468,0.746,male,0.382
0.071,0.546,0.726,male,0.378
0.188,0.53,0.773,male,0.4
0.292,0.419,0.817,male,0.447
0.263,0.451,0.917,male,0.438
0.208,0.598,0.936,male,0.262
0.303,0.567,0.947,male,0.285
0.284,0.624,0.936,male,0.203
0.299,0.597,0.948,male,0.281
0.288,0.516,0.942,male,0.349
0.26,0.482,0.909,male,0.36
0.174,0.422,0.867,male,0.433
0.194,0.459,0.643,male,0.542
0.17,0.363,0.791,male,0.358
0.181,0.387,0.805,male,0.353
0.127,0.401,0.778,male,0.37
0.313,0.441,0.805,male,0.392
0.209,0.341,0.803,male,0.348
0.289,0.377,0.801,male,0.349
0.217,0.421,0.795,male,0.365
0.274,0.393,0.791,male,0.367
0.159,0.364,0.797,male,0.352
0.232,0.465,0.792,male,0.359
0.379,0.425,0.946,male,0.158
0.368,0.453,0.931,male,0.283
0.475,0.475,0.956,male,0.159
0.3,0.566,0.914,male,0.217
0.291,0.484,0.919,male,0.317
0.395,0.428,0.973,male,0.251
0.234,0.454,0.891,male,0.193
0.353,0.393,0.94,male,0.401
0.325,0.536,0.874,male,0.149
0.376,0.377,0.741,male,0.468
0.162,0.447,0.853,male,0.322
0.166,0.387,0.85,male,0.344
0.197,0.452,0.875,male,0.336
0.214,0.41,0.938,male,0.328
0.198,0.417,0.877,male,0.352
0.208,0.483,0.953,male,0.324
0.183,0.385,0.842,male,0.364
0.281,0.409,0.882,male,0.37
0.204,0.466,0.963,male,0.398
0.198,0.388,0.882,male,0.357
0.395,0.362,0.849,male,0.492
0.353,0.429,0.929,male,0.4
0.356,0.365,0.885,male,0.481
0.353,0.485,0.97,male,0.368
0.32,0.329,0.828,male,0.551
0.36,0.498,0.922,male,0.336
0.33,0.473,0.852,male,0.408
0.271,0.357,0.871,male,0.477
0.207,0.342,0.793,male,0.474
0.286,0.381,0.873,male,0.433
0.294,0.403,0.847,male,0.484
0.355,0.373,0.826,male,0.505
0.334,0.386,0.708,male,0.475
0.283,0.399,0.829,male,0.451
0.341,0.398,0.764,male,0.52
0.261,0.4,0.776,male,0.416
0.307,0.383,0.777,male,0.466
0.302,0.364,0.724,male,0.487
0.334,0.419,0.767,male,0.508
0.317,0.389,0.804,male,0.485
0.272,0.386,0.747,male,0.473
0.274,0.329,0.888,male,0.17
0.334,0.589,0.848,male,0.216
0.348,0.568,0.853,male,0.184
0.257,0.439,0.807,male,0.342
0.333,0.495,0.778,male,0.278
0.353,0.44,0.733,male,0.409
0.429,0.428,0.497,male,0.572
0.332,0.618,0.834,male,0.178
0.328,0.54,0.885,male,0.285
0.334,0.439,0.773,male,0.409
0.397,0.512,0.883,male,0.153
0.267,0.57,0.878,male,0.163
0.324,0.55,0.848,male,0.19
0.364,0.5,0.796,male,0.273
0.381,0.568,0.923,male,0.227
0.275,0.629,0.944,male,0.158
0.31,0.529,0.804,male,0.29
0.264,0.426,0.881,male,0.261
0.205,0.469,0.885,male,0.169
0.282,0.358,0.902,male,0.192
0.259,0.716,0.375,male,0.077
0.207,0.644,0.362,male,0.113
0.19,0.486,0.517,male,0.351
0.127,0.71,0.354,male,0.047
0.157,0.652,0.397,male,0.124
0.232,0.542,0.561,male,0.241
0.185,0.591,0.446,male,0.2
0.274,0.467,0.448,male,0.321
0.228,0.545,0.471,male,0.262
0.11,0.722,0.261,male,0
0.453,0.085,0.492,male,0.892
0.337,0.081,0.453,male,0.876
0.347,0.093,0.503,male,0.856
0.394,0.144,0.524,male,0.829
0.392,0.039,0.442,male,0.917
0.383,0.031,0.399,male,0.916
0.391,0.072,0.471,male,0.886
0.363,0.086,0.491,male,0.898
0.303,0.055,0.456,male,0.889
0.378,0.093,0.481,male,0.866
0.215,0.377,0.857,male,0.374
0.33,0.419,0.862,male,0.424
0.233,0.395,0.855,male,0.363
0.347,0.391,0.845,male,0.375
0.293,0.396,0.83,male,0.38
0.336,0.429,0.894,male,0.378
0.343,0.405,0.88,male,0.363
0.267,0.378,0.857,male,0.372
0.236,0.373,0.811,male,0.372
0.268,0.441,0.928,male,0.389
0.326,0.446,0.809,male,0.446
0.293,0.432,0.788,male,0.425
0.372,0.424,0.88,male,0.409
0.291,0.438,0.837,male,0.415
0.344,0.446,0.853,male,0.428
0.289,0.412,0.849,male,0.43
0.405,0.455,0.922,male,0.435
0.365,0.439,0.718,male,0.461
0.255,0.441,0.838,male,0.429
0.333,0.428,0.861,male,0.435
0.317,0.42,0.864,male,0.478
0.33,0.337,0.911,male,0.479
0.443,0.363,0.779,male,0.542
0.403,0.393,0.784,male,0.49
0.282,0.514,0.303,male,0.009
0.245,0.149,0.377,male,0.032
0.266,0.223,0.551,male,0.033
0.187,0.572,0.575,male,0.035
0.243,0.425,0.197,male,0.006
0.201,0.54,0.457,male,0.021
0.221,0.534,0.393,male,0.008
0.211,0.55,0.445,male,0.013
0.429,0.428,0.497,male,0.572
0.434,0.384,0.593,male,0.615
0.502,0.277,0.704,male,0.658
0.514,0.336,0.725,male,0.634
0.476,0.368,0.625,male,0.632
0.469,0.308,0.684,male,0.68
0.644,0.141,0.622,male,0.743
0.371,0.297,0.69,male,0.637
0.408,0.323,0.723,male,0.59
0.319,0.441,0.634,male,0.569
0.425,0.402,0.638,male,0.576
0.326,0.201,0.602,male,0.76
0.443,0.298,0.639,male,0.632
0.334,0.359,0.614,male,0.644
0.321,0.388,0.652,male,0.434
0.261,0.369,0.651,male,0.406
0.207,0.374,0.717,male,0.4
0.254,0.377,0.658,male,0.412
0.296,0.372,0.8,male,0.419
0.238,0.373,0.766,male,0.417
0.256,0.363,0.8,male,0.418
0.273,0.371,0.748,male,0.419
0.232,0.366,0.645,male,0.399
0.191,0.369,0.728,male,0.399
0.215,0.374,0.652,male,0.398
0.231,0.384,0.695,male,0.405
0.274,0.375,0.671,male,0.422
0.258,0.381,0.772,male,0.398
0.273,0.371,0.726,male,0.406
0.247,0.378,0.748,male,0.407
0.299,0.377,0.599,male,0.426
0.294,0.379,0.73,male,0.413
0.256,0.367,0.646,male,0.407
0.265,0.389,0.69,male,0.411
0.301,0.379,0.697,male,0.42
0.232,0.388,0.712,male,0.419
0.272,0.389,0.69,male,0.419
0.309,0.389,0.604,male,0.43
0.195,0.381,0.738,male,0.409
0.254,0.38,0.666,male,0.415
0.181,0.382,0.721,male,0.409
0.229,0.375,0.657,male,0.42
0.245,0.37,0.719,male,0.389
0.289,0.371,0.804,male,0.38
0.242,0.373,0.738,male,0.405
0.289,0.376,0.719,male,0.421
0.21,0.387,0.773,male,0.408
0.266,0.372,0.724,male,0.419
0.311,0.382,0.77,male,0.416
0.314,0.379,0.682,male,0.435
0.328,0.366,0.758,male,0.414
0.255,0.375,0.753,male,0.403
0.246,0.368,0.691,male,0.41
0.269,0.373,0.715,male,0.406
0.292,0.379,0.663,male,0.42
0.232,0.395,0.72,male,0.398
0.231,0.386,0.716,male,0.404
0.229,0.416,0.922,male,0.396
0.286,0.416,0.957,male,0.384
0.294,0.43,0.93,male,0.437
0.306,0.429,0.972,male,0.409
0.357,0.423,0.934,male,0.47
0.283,0.422,0.901,male,0.463
0.347,0.415,0.927,male,0.41
0.309,0.638,0.64,male,0.277
0.222,0.446,0.928,male,0.373
0.331,0.493,0.97,male,0.367
0.265,0.615,0.89,male,0.151
0.349,0.476,0.914,male,0.328
0.336,0.597,0.901,male,0.223
0.332,0.543,0.947,male,0.241
0.265,0.574,0.929,male,0.25
0.364,0.433,0.792,male,0.533
0.355,0.427,0.831,male,0.521
0.324,0.408,0.726,male,0.529
0.293,0.414,0.468,male,0.542
0.218,0.429,0.816,male,0.453
0.237,0.402,0.759,male,0.508
0.295,0.44,0.619,male,0.516
0.316,0.397,0.804,male,0.538
0.333,0.424,0.851,male,0.515
0.307,0.414,0.805,male,0.534
0.314,0.362,0.712,male,0.567
0.333,0.451,0.759,male,0.517
0.309,0.437,0.801,male,0.521
0.312,0.344,0.795,male,0.544
0.304,0.402,0.807,male,0.524
0.317,0.381,0.861,male,0.505
0.329,0.541,0.852,male,0.36
0.354,0.428,0.756,male,0.529
0.272,0.457,0.916,male,0.41
0.331,0.432,0.849,male,0.517
0.272,0.404,0.596,male,0.55
0.305,0.367,0.784,male,0.535
0.345,0.422,0.758,male,0.536
0.305,0.433,0.805,male,0.527
0.332,0.339,0.828,male,0.544
0.349,0.385,0.78,male,0.543
0.352,0.38,0.768,male,0.561
0.318,0.383,0.771,male,0.544
0.253,0.362,0.809,male,0.552
0.356,0.403,0.807,male,0.542
0.322,0.467,0.951,male,0.424
0.312,0.398,0.801,male,0.549
0.332,0.376,0.79,male,0.548
0.355,0.404,0.749,male,0.536
0.35,0.438,0.752,male,0.543
0.315,0.436,0.638,male,0.527
0.387,0.427,0.654,male,0.527
0.364,0.363,0.752,male,0.552
0.299,0.401,0.726,male,0.542
0.305,0.457,0.888,male,0.457
0.291,0.355,0.722,male,0.527
0.294,0.353,0.713,male,0.518
0.274,0.333,0.798,male,0.564
0.296,0.415,0.631,male,0.527
0.267,0.385,0.72,male,0.518
0.269,0.381,0.834,male,0.515
0.3,0.386,0.787,male,0.547
0.28,0.373,0.754,male,0.542
0.3,0.395,0.75,male,0.533
0.328,0.417,0.718,male,0.531
0.335,0.461,0.79,male,0.493
0.319,0.425,0.694,male,0.549
0.25,0.427,0.839,male,0.53
0.3,0.393,0.669,male,0.541
0.355,0.451,0.529,male,0.538
0.346,0.373,0.633,male,0.559
0.26,0.404,0.757,male,0.521
0.284,0.388,0.699,male,0.539
0.288,0.41,0.753,male,0.498
0.325,0.375,0.65,male,0.507
0.296,0.438,0.637,male,0.508
0.25,0.424,0.801,male,0.52
0.379,0.406,0.564,male,0.529
0.298,0.441,0.851,male,0.457
0.301,0.388,0.699,male,0.556
0.278,0.588,0.945,male,0.243
0.359,0.413,0.853,male,0.539
0.329,0.394,0.749,male,0.55
0.323,0.412,0.723,male,0.54
0.322,0.337,0.769,male,0.537
0.345,0.458,0.838,male,0.517
0.295,0.433,0.764,male,0.54
0.322,0.352,0.653,male,0.524
0.342,0.469,0.711,male,0.537
0.3,0.365,0.722,male,0.534
0.328,0.415,0.755,male,0.523
0.305,0.419,0.829,male,0.508
0.287,0.361,0.756,male,0.483
0.314,0.365,0.717,male,0.572
0.296,0.312,0.828,male,0.534
0.338,0.347,0.745,male,0.537
0.337,0.418,0.725,male,0.511
0.389,0.43,0.911,male,0.475
0.23,0.54,0.428,male,0.019
0.25,0.096,0.324,male,0.022
0.214,0.4,0.88,male,0.356
0.331,0.326,0.926,male,0.352
0.288,0.409,0.928,male,0.364
0.319,0.4,0.684,male,0.459
0.331,0.416,0.946,male,0.34
0.302,0.355,0.932,male,0.322
0.278,0.414,0.922,male,0.317
0.314,0.429,0.924,male,0.403
0.138,0.355,0.894,male,0.314
0.086,0.391,0.879,male,0.394
0.425,0.314,0.906,male,0.351
0.293,0.274,0.682,male,0.582
0.305,0.201,0.66,male,0.584
0.309,0.288,0.719,male,0.583
0.346,0.305,0.719,male,0.571
0.347,0.325,0.706,male,0.568
0.241,0.295,0.726,male,0.577
0.393,0.298,0.621,male,0.59
0.348,0.311,0.646,male,0.577
0.282,0.244,0.621,male,0.623
0.304,0.296,0.713,male,0.571
0.384,0.439,0.728,male,0.546
0.365,0.434,0.751,male,0.547
0.405,0.476,0.925,male,0.455
0.377,0.474,0.929,male,0.432
0.396,0.485,0.924,male,0.361
0.245,0.414,0.68,male,0.501
0.373,0.421,0.683,male,0.558
0.321,0.359,0.609,male,0.562
0.353,0.439,0.796,male,0.442
0.454,0.687,0.84,male,0.245
0.467,0.539,0.817,male,0.44
0.294,0.497,0.862,male,0.427
0.428,0.474,0.845,male,0.407
0.431,0.479,0.828,male,0.472
0.342,0.494,0.934,male,0.22
0.417,0.46,0.845,male,0.47
0.379,0.451,0.832,male,0.466
0.419,0.606,0.901,male,0.205
0.396,0.259,0.704,male,0.624
0.438,0.251,0.659,male,0.63
0.445,0.203,0.704,male,0.669
0.422,0.222,0.691,male,0.665
0.415,0.349,0.685,male,0.623
0.302,0.572,0.936,male,0.286
0.349,0.328,0.691,male,0.662
0.404,0.232,0.698,male,0.675
0.404,0.237,0.704,male,0.678
0.399,0.333,0.686,male,0.653
0.374,0.726,0.81,male,0.165
0.394,0.446,0.805,male,0.49
0.369,0.431,0.777,male,0.479
0.473,0.422,0.831,male,0.506
0.37,0.659,0.926,male,0.173
0.51,0.57,0.802,male,0.293
0.41,0.475,0.784,male,0.466
0.338,0.334,0.813,male,0.513
0.337,0.516,0.866,male,0.422
0.401,0.468,0.842,male,0.457
0.257,0.387,0.927,male,0.357
0.161,0.422,0.934,male,0.357
0.182,0.415,0.883,male,0.381
0.208,0.397,0.869,male,0.379
0.221,0.38,0.922,male,0.355
0.227,0.409,0.907,male,0.351
0.193,0.402,0.926,male,0.377
0.26,0.423,0.9,male,0.384
0.198,0.499,0.715,male,0.334
0.216,0.623,0.757,male,0.122
0.217,0.536,0.693,male,0.3
0.282,0.653,0.615,male,0.213
0.167,0.624,0.712,male,0.208
0.132,0.533,0.509,male,0.292
0.191,0.669,0.52,male,0.199
0.21,0.36,0.612,male,0.426
0.194,0.269,0.563,male,0.424
0.145,0.441,0.61,male,0.401
0.46,0.361,0.926,male,0.284
0.446,0.422,0.94,male,0.225
0.411,0.357,0.738,male,0.522
0.359,0.175,0.808,male,0.471
0.345,0.247,0.887,male,0.466
0.101,0.616,0.392,male,0.216
0.124,0.528,0.471,male,0.345
0.104,0.699,0.312,male,0.094
0.088,0.458,0.433,male,0.379
0.114,0.764,0.317,male,0
0.048,0.505,0.427,male,0.329
0.096,0.472,0.482,male,0.331
0.105,0.52,0.466,male,0.283
0.06,0.621,0.339,male,0.152
0.081,0.521,0.473,male,0.317
0.143,0.474,0.845,male,0.368
0.166,0.487,0.859,male,0.397
0.164,0.384,0.761,male,0.437
0.164,0.419,0.817,male,0.422
0.169,0.433,0.854,male,0.402
0.203,0.419,0.839,male,0.453
0.198,0.503,0.774,male,0.443
0.166,0.442,0.876,male,0.417
0.172,0.427,0.848,male,0.488
0.146,0.392,0.88,male,0.424
0.247,0.562,0.733,male,0.265
0.16,0.463,0.921,male,0.191
0.188,0.431,0.916,male,0.256
0.192,0.407,0.916,male,0.349
0.261,0.464,0.897,male,0.139
0.228,0.475,0.964,male,0.303
0.253,0.425,0.952,male,0.345
0.241,0.435,0.936,male,0.262
0.246,0.491,0.907,male,0.218
0.253,0.379,0.864,male,0.368
0.156,0.378,0.829,male,0.366
0.287,0.448,0.944,male,0.349
0.317,0.566,0.901,male,0.258
0.266,0.679,0.915,male,0.201
0.296,0.552,0.904,male,0.289
0.282,0.686,0.882,male,0.08
0.305,0.506,0.945,male,0.309
0.364,0.608,0.954,male,0.205
0.309,0.455,0.957,male,0.391
0.315,0.537,0.951,male,0.158
0.235,0.535,0.937,male,0.264
0.388,0.581,0.912,male,0.399
0.404,0.693,0.835,male,0.31
0.392,0.447,0.674,male,0.556
0.381,0.473,0.781,male,0.527
0.306,0.425,0.862,male,0.511
0.398,0.462,0.702,male,0.54
0.404,0.456,0.825,male,0.518
0.423,0.481,0.802,male,0.504
0.418,0.473,0.748,male,0.532
0.421,0.425,0.755,male,0.557
0.322,0.561,0.772,male,0.434
0.425,0.389,0.765,male,0.604
0.419,0.357,0.839,male,0.591
0.372,0.494,0.73,male,0.501
0.638,0.145,0.732,male,0.668
0.411,0.337,0.692,male,0.678
0.366,0.437,0.705,male,0.497
0.342,0.349,0.67,male,0.484
0.327,0.32,0.673,male,0.489
0.216,0.371,0.627,male,0.485
0.262,0.339,0.677,male,0.494
0.213,0.258,0.564,male,0.514
0.387,0.367,0.631,male,0.48
0.271,0.3,0.704,male,0.491
0.256,0.332,0.667,male,0.487
0.165,0.364,0.608,male,0.484
0.257,0.375,0.554,male,0.481
0.235,0.433,0.916,male,0.43
0.22,0.444,0.964,male,0.335
0.236,0.391,0.869,male,0.384
0.346,0.419,0.961,male,0.41
0.3,0.56,0.968,male,0.217
0.334,0.461,0.95,male,0.419
0.281,0.629,0.958,male,0.209
0.307,0.47,0.899,male,0.473
0.241,0.417,0.913,male,0.409
0.325,0.406,0.947,male,0.387
0.266,0.478,0.934,male,0.394
0.357,0.471,0.955,male,0.41
0.371,0.421,0.925,male,0.471
0.305,0.551,0.931,male,0.176
0.267,0.433,0.889,male,0.441
0.302,0.427,0.905,male,0.446
0.315,0.467,0.944,male,0.35
0.321,0.388,0.866,male,0.462
0.24,0.588,1,male,0.222
0.22,0.452,0.895,male,0.418
0.208,0.406,0.924,male,0.409
0.299,0.474,0.923,male,0.397
0.35,0.367,0.914,male,0.479
0.248,0.521,0.942,male,0.336
0.285,0.498,0.969,male,0.293
0.286,0.463,0.942,male,0.337
0.293,0.431,0.944,male,0.315
0.266,0.426,0.949,male,0.423
0.359,0.581,0.935,male,0.12
0.211,0.409,0.876,male,0.42
0.25,0.364,0.628,male,0.481
0.378,0.542,0.978,male,0.231
0.262,0.52,0.971,male,0.3
0.37,0.49,0.835,male,0.462
0.266,0.385,0.854,male,0.44
0.307,0.458,0.91,male,0.426
0.675,0.419,0.801,male,0.068
0.574,0.571,0.792,male,0.066
0.624,0.514,0.905,male,0.136
0.582,0.488,0.895,male,0.094
0.619,0.52,0.818,male,0.229
0.578,0.289,0.829,male,0.453
0.672,0.171,0.749,male,0.617
0.624,0.469,0.852,male,0.302
0.678,0.293,0.881,male,0.468
0.671,0.326,0.795,male,0.424
0.378,0.428,0.875,male,0.383
0.269,0.449,0.788,male,0.43
0.268,0.505,0.908,male,0.089
